Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2022-11-04,349.32672119140625,357.6051625461497,345.34876226684725,356.940548770847,3004600
2022-11-07,356.8135070800781,358.69985063465225,349.41470463729746,349.9033965318951,2560300
2022-11-08,358.3675231933594,360.4102516164553,353.7444873974784,356.89166421146865,3278600
2022-11-09,355.05419921875,361.43651418448036,353.7249715793865,360.10728654511684,2323700
2022-11-10,360.38092041015625,360.6545866540884,354.7902844320707,358.9343817908671,2994000
2022-11-11,344.33233642578125,359.5111072167337,336.72829086833633,357.87889280523865,6646300
2022-11-14,348.9779968261719,353.62370908902045,333.35503957304536,351.92813777330866,4717400
2022-11-15,342.98956298828125,349.8895169897608,339.4709411871054,349.84052344592016,4180700
2022-11-16,345.9102783203125,349.781725491871,342.9993498920538,343.03856267418143,3563800
2022-11-17,353.5943298339844,355.0938971746364,345.6946443779236,345.89067837314917,2929700
2022-11-18,354.4764099121094,357.4167400203693,352.20254744984805,355.33888161897454,2420900
2022-11-21,353.9864196777344,356.5249015465006,348.30176248172216,353.2219349061005,1999200
2022-11-22,353.7021179199219,355.5839124568978,350.1933072079556,354.799836384922,2460400
2022-11-23,354.52545166015625,355.26053428718217,351.4969148260803,354.1530050101023,1993000
2022-11-25,357.9852294921875,358.55368021409004,354.35881000126903,355.6819646755548,1039100
2022-11-28,358.4949035644531,362.1605361178947,353.8197885937826,356.2210705914114,2481300
2022-11-29,356.7110595703125,358.8280709267811,353.466897743964,357.3677165445123,2207000
2022-11-30,363.69927978515625,364.94403888169336,354.603858327335,357.8088378234939,5556400
2022-12-01,362.9642028808594,367.7275540808485,361.1608036739311,367.3355159768363,2516100
2022-12-02,367.3060607910156,367.58049041522804,357.740176900321,358.7986826192587,1925600
2022-12-05,361.9448547363281,367.78630235614804,360.95493399803945,366.32594792883947,2296500
2022-12-06,361.2098083496094,363.2680456768911,358.249856510454,359.7004303215243,1971000
2022-12-07,364.57159423828125,367.7765438415926,361.4254488544369,361.97430817652224,1629100
2022-12-08,364.3951721191406,365.8359352798557,359.21038089308587,365.8359352798557,2090900
